Id,modularity_class,Latitude,longitude
46531,5,1.4324025,103.7775114
46531,5,1.4324025,103.7775114
44009,5,1.385510521,103.7440758
45009,5,1.378441398,103.7629178
44531,5,1.384254053,103.7445362
46521,5,1.432378333,103.7742933
10009,6,1.282101559,103.8172248
10049,6,1.276233024,103.8348379
10079,6,1.280395014,103.8270891
10169,6,1.285999614,103.8274812
10449,6,1.286665525,103.8119538
53009,0,1.350455412,103.8498808
59009,9,1.429973709,103.8374345
52009,2,1.332020834,103.8469276
21149,1,1.315647364,103.7198746
52071,2,1.329914169,103.8438184
54241,0,1.369135186,103.8461801
52279,2,1.337024206,103.8499296
22009,1,1.339323347,103.705457
22011,1,1.32129798,103.707755
23499,7,1.327550924,103.678051
27381,1,1.34814783,103.6986383
23181,7,1.327903056,103.6944886
23491,7,1.327924084,103.6778086
24581,7,1.324961389,103.6669958
23371,8,1.325954453,103.6790815
24009,8,1.326972547,103.6783979
25009,8,1.344995428,103.6392036
25429,8,1.340558073,103.6369654
25589,8,1.328334,103.648426
80141,3,1.307118355,103.8798937
82009,3,1.319337172,103.9018083
52361,2,1.339744089,103.8529812
46008,9,1.43736181,103.7857598
46779,9,1.440713576,103.8007075
52501,2,1.330902209,103.8501176
52509,2,1.331157123,103.8501763
60159,2,1.324094766,103.867642
70171,2,1.328336667,103.8854714
84009,3,1.324538743,103.9290382
59041,0,1.416254201,103.8325916
75009,4,1.354075524,103.943391
64009,0,1.370606954,103.8926681
80049,2,1.310777078,103.8736366
76051,4,1.353138093,103.9412639
76071,4,1.348026389,103.9451781
76101,4,1.353033156,103.9548021
77009,4,1.37370753,103.9495759
71091,0,1.330733748,103.9037315
78101,4,1.375066444,103.954048
94051,3,1.31710245,103.9473796
94061,3,1.318436667,103.9513833
